timestamp,distance_cm,rain_analog,float_status,rise_rate_cm_per_min,rain_trend_5min,distance_rolling_mean_3min,distance_rolling_std_3min,cumulative_rain_30min,time_since_rain_start,emergency_flag,season_flag,risk_label
2025-03-07 19:53:00,56.61,394,0,-0.6135,396.4,55.8246,0.72,113.07,37,0,0,1
2024-07-01 03:09:00,120.6,252,0,0.0963,247.8,120.7174,0.104,24.63,6,0,1,0
2025-03-18 05:32:00,65.29,345,0,-1.2925,344.4,63.9126,1.1666,41.79,0,0,0,1
2024-07-02 03:15:00,56.66,594,0,-2.0679,585.2,55.721,0.8543,143.67,15,0,1,1
2025-05-20 00:51:00,123.31,167,0,-1.8383,132.2,121.6984,1.2311,18.89,42,0,0,0
2025-07-05 09:20:00,68.24,406,0,1.3092,366.2,69.2814,0.7621,41.49,0,0,1,1
2024-07-01 13:13:00,93.39,101,0,0.5212,98.4,93.6532,0.2128,17.98,12,0,1,0
2025-03-11 22:41:00,143.73,149,0,-1.4073,177.2,142.4341,1.0159,95.93,74,0,0,0
2024-07-02 10:12:00,68.17,502,0,1.0143,495.2,68.2834,0.6889,97.05,13,0,1,1
2025-11-24 02:10:00,48.0,547,0,0.0236,532.4,48.0868,0.1065,133.5,52,0,0,1
2024-07-02 06:17:00,50.15,583,0,-0.1518,581.6,50.5814,0.7175,157.8,17,0,1,1
2025-06-01 09:16:00,58.49,584,0,-0.6405,565.2,58.7423,0.8551,28.49,48,0,1,1
2025-05-17 18:21:00,77.86,485,0,-1.1703,517.8,77.2114,0.4864,121.43,23,0,0,1
2024-07-02 16:08:00,40.02,850,0,0.3377,848.6,39.9318,0.3835,56.55,4,0,1,2
2024-07-01 00:06:00,97.77,146,0,1.442,150.2,99.4944,1.5395,7.12,3,0,1,0
2024-07-01 00:09:00,97.84,120,0,0.1456,134.2,97.4242,0.6905,13.55,6,0,1,0
2024-07-02 21:15:00,11.53,894,1,-0.9012,894.0,11.2469,0.4407,160.73,11,1,1,3
2024-07-02 19:07:00,25.0,707,0,0.0,708.0,25.1618,0.2288,59.0,5,0,1,2
2025-04-05 07:32:00,50.69,610,0,0.0318,591.8,50.4957,0.2918,152.47,48,0,0,1
2025-05-13 09:51:00,36.22,855,0,1.6979,853.2,38.7412,2.4642,9.39,0,0,0,2
2024-07-01 05:19:00,103.44,157,0,0.6123,144.6,103.9419,0.3761,43.22,19,0,1,0
2025-09-27 08:09:00,1.0,1023,1,0.1586,1023.0,1.8199,1.0494,34.53,0,1,1,3
2025-03-20 16:21:00,96.54,139,0,0.1967,148.8,97.1101,0.6726,116.39,35,0,0,0
2025-06-16 15:15:00,32.72,855,0,0.2883,853.8,32.8229,0.1322,292.54,60,0,1,2
2025-06-06 09:54:00,1.0,1023,1,0.0,1020.4,1.0,0.0,17.53,0,1,1,3
2024-07-02 17:06:00,25.0,850,0,0.0058,845.8,25.2587,0.3617,56.48,4,0,1,2
