timestamp,distance_cm,rain_analog,float_status,rise_rate_cm_per_min,rain_trend_5min,distance_rolling_mean_3min,distance_rolling_std_3min,cumulative_rain_30min,time_since_rain_start,emergency_flag,season_flag,risk_label
2025-05-13 09:46:00,41.21,855,0,2.3504,852.8,42.6875,1.0493,9.39,0,0,0,2
2025-07-02 12:25:00,13.08,1005,1,0.8801,927.4,13.996,0.7603,18.0,0,1,1,3
2025-11-09 08:34:00,106.51,208,0,1.3519,222.8,106.835,0.7443,22.97,0,0,0,0
2025-07-01 07:56:00,56.17,524,0,-1.1996,533.4,55.5599,0.49,127.7,65,0,1,1
2025-11-09 08:40:00,105.58,182,0,0.422,207.0,105.806,0.1736,22.97,0,0,0,0
2025-06-13 02:10:00,98.17,303,0,1.6259,292.2,99.5613,1.0513,83.96,52,0,1,0
2025-02-02 12:26:00,139.7,87,0,0.6851,101.0,139.0887,1.3812,4.36,0,0,0,0
2025-12-21 18:12:00,129.55,161,0,-0.0266,156.2,129.2027,0.4669,88.83,54,0,0,0
2025-03-07 19:55:00,50.32,412,0,5.5668,400.2,54.2689,2.8111,127.26,39,0,0,1
2025-03-20 16:08:00,103.29,208,0,-2.2426,229.4,102.1257,0.9173,77.88,22,0,0,0
2025-05-17 11:20:00,69.98,610,0,1.5236,609.0,71.0573,0.7691,176.52,37,0,0,1
2025-05-17 11:21:00,71.33,598,0,-1.3578,606.6,70.9361,0.6825,186.61,38,0,0,1
2025-06-15 02:26:00,35.88,739,0,3.5261,716.4,38.1612,1.6148,40.07,0,0,1,2
2025-10-01 11:23:00,128.9,186,0,-0.2177,192.4,128.7936,0.0893,72.43,63,0,0,0
2025-05-17 18:15:00,72.9,564,0,1.0068,556.6,73.3746,0.413,64.08,17,0,0,1
2025-02-12 09:18:00,112.52,269,0,-2.1107,269.4,111.074,1.0214,9.76,0,0,0,0
2025-10-16 01:45:00,70.72,536,0,-1.1957,495.6,70.6223,0.8611,16.27,0,0,0,1
2025-11-12 12:45:00,142.65,136,0,-2.7831,124.0,140.654,1.4233,38.79,61,0,0,0
